backend-1  | 2026-08-08 11:24:04,007 INFO [hospital_ai.core.telemetry] Prometheus metrics initialized
backend-1  | 2026-08-08 11:24:04,007 INFO [hospital_ai.core.telemetry] openlit not installed — LLM observability disabled
backend-1  | INFO:     Started server process [1]
backend-1  | INFO:     Waiting for application startup.
backend-1  | INFO:     Application startup complete.
backend-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
backend-1  | INFO:     172.18.0.1:32906 - "GET /api/v1/health HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56610 - "POST /api/v1/auth/token HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56614 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56628 - "GET /api/v1/chat-threads HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56636 - "GET /api/v1/dashboard/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56638 - "GET /api/v1/dashboard/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56646 - "GET /api/v1/documents HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56660 - "POST /api/v1/documents/upload-sessions HTTP/1.1" 201 Created
backend-1  | INFO:     172.18.0.1:56662 - "PUT /api/v1/documents/upload-objects/source/20000000-0000-0000-0000-000000000003/17c66701-b886-4586-99f0-1a6db61476b7/bc192761-9b0f-4e17-b826-5f66af8730b8/original.pdf HTTP/1.1" 204 No Content
backend-1  | warning: The `fitz` API is deprecated and will be removed in future. Use `import pymupdf` instead.
backend-1  | INFO:     172.18.0.1:56674 - "POST /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7/uploads/bc192761-9b0f-4e17-b826-5f66af8730b8/finalize HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56676 - "GET /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7 HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56682 - "GET /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7/content HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56688 - "GET /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7/revision-sets HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56722 - "GET /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7/content HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56692 - "GET /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7/pages/1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56704 - "GET /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7/facts HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56728 - "GET /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7/content HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.1:56716 - "GET /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7/draft/pages/1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56734 - "GET /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7/content HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.1:56738 - "GET /api/v1/documents HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56748 - "GET /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7/content HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:56754 - "GET /api/v1/documents/17c66701-b886-4586-99f0-1a6db61476b7/content HTTP/1.1" 200 OK
