backend-1  | 2026-08-08 10:20:54,174 INFO [hospital_ai.core.telemetry] Prometheus metrics initialized
backend-1  | 2026-08-08 10:20:54,174 INFO [hospital_ai.core.telemetry] openlit not installed — LLM observability disabled
backend-1  | INFO:     Started server process [1]
backend-1  | INFO:     Waiting for application startup.
backend-1  | INFO:     Application startup complete.
backend-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
backend-1  | INFO:     172.18.0.1:39212 - "GET /api/v1/health HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58754 - "POST /api/v1/auth/token HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58756 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58766 - "GET /api/v1/chat-threads HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58768 - "GET /api/v1/dashboard/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58774 - "GET /api/v1/dashboard/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58782 - "GET /api/v1/documents HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58798 - "POST /api/v1/documents/upload-sessions HTTP/1.1" 201 Created
backend-1  | INFO:     172.18.0.1:58800 - "PUT /api/v1/documents/upload-objects/source/20000000-0000-0000-0000-000000000003/52d93e97-9a23-49f1-a453-fee41766bcfc/7d6ba065-c30a-4851-90b5-523167d1fc18/original.pdf HTTP/1.1" 204 No Content
backend-1  | warning: The `fitz` API is deprecated and will be removed in future. Use `import pymupdf` instead.
backend-1  | INFO:     172.18.0.1:58806 - "POST /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/uploads/7d6ba065-c30a-4851-90b5-523167d1fc18/finalize HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58820 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58832 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/content HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58852 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/pages/1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58860 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/draft/pages/1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58872 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/facts HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58844 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/revision-sets HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58874 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/content HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58890 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/content HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.1:58902 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/content HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.1:58910 - "GET /api/v1/documents HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58926 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/content HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58936 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/content HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58942 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/content HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.1:58956 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/content HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.1:58968 - "PATCH /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/draft/pages/1 HTTP/1.1" 422 Unprocessable Entity
backend-1  | INFO:     172.18.0.1:58980 - "POST /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/draft/submit HTTP/1.1" 201 Created
backend-1  | INFO:     172.18.0.1:58982 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/revision-sets HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58986 - "GET /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/revision-sets/c492d64f-e01a-4265-b2f3-9d8a0f7b599b/pages/1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58994 - "POST /api/v1/documents/52d93e97-9a23-49f1-a453-fee41766bcfc/revision-sets/c492d64f-e01a-4265-b2f3-9d8a0f7b599b/approve HTTP/1.1" 403 Forbidden
backend-1  | INFO:     172.18.0.1:59002 - "POST /api/v1/auth/token HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:59010 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:59022 - "GET /api/v1/chat-threads HTTP/1.1" 200 OK
