backend-1  | 2026-08-08 10:44:51,228 INFO [hospital_ai.core.telemetry] Prometheus metrics initialized
backend-1  | 2026-08-08 10:44:51,228 INFO [hospital_ai.core.telemetry] openlit not installed — LLM observability disabled
backend-1  | INFO:     Started server process [1]
backend-1  | INFO:     Waiting for application startup.
backend-1  | INFO:     Application startup complete.
backend-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
backend-1  | INFO:     172.18.0.1:54288 - "GET /api/v1/health HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41392 - "POST /api/v1/auth/token HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41400 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41406 - "GET /api/v1/chat-threads HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41412 - "GET /api/v1/dashboard/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41424 - "GET /api/v1/dashboard/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41428 - "GET /api/v1/documents HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41442 - "POST /api/v1/documents/upload-sessions HTTP/1.1" 201 Created
backend-1  | INFO:     172.18.0.1:41454 - "PUT /api/v1/documents/upload-objects/source/20000000-0000-0000-0000-000000000003/19850054-1785-46fd-a31b-5bde06ad8289/3fc29b28-7e48-4e68-b6c4-4a4c495d5deb/original.pdf HTTP/1.1" 204 No Content
backend-1  | warning: The `fitz` API is deprecated and will be removed in future. Use `import pymupdf` instead.
backend-1  | INFO:     172.18.0.1:41456 - "POST /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/uploads/3fc29b28-7e48-4e68-b6c4-4a4c495d5deb/finalize HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41460 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289 HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41466 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/content HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41476 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/revision-sets HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41488 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/pages/1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41480 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/facts HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41490 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/draft/pages/1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41502 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/content HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41514 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/content HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.1:41530 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/content HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.1:41538 - "GET /api/v1/documents HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41542 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/content HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41546 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/content HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41552 - "GET /api/v1/documents/19850054-1785-46fd-a31b-5bde06ad8289/content HTTP/1.1" 401 Unauthorized
